URN,QCSI,QDataInput,QSamPrep,Qextraction,Qvalidation
224,1283.47672,0.58006,1253.28993,417.4617,1138.59003
225,1210.33021,374.21565,853.04593,383.10325,1141.68794
226,830.94487,384.68428,841.93176,406.34753,1139.96973
227,802.52673,358.95115,876.29021,367.80904,1142.70701
228,1841.46137,330.08614,891.58442,344.63836,1144.23025
229,1834.88332,312.20486,914.7551,325.80179,1145.31482
230,1842.7012,294.49914,933.59167,311.47103,1146.8649
231,1602.27597,268.70655,947.92243,290.1102,1148.56821
232,1614.66791,251.14416,969.28326,262.12678,1150.0735
233,1571.25086,234.69327,997.26668,240.28529,1151.55536
234,1457.28107,211.9609,1019.10817,223.50879,1152.93998
235,1323.45207,185.7087,1035.88467,209.23963,1154.12199
236,1309.49563,171.02645,1050.15383,195.44503,1155.87804
237,1316.1965,158.4012,1063.94843,168.84456,1157.53553
238,1289.49034,126.41689,1090.5489,142.98071,1158.58622
239,1019.95673,113.85816,1116.41275,122.92558,1159.93157
240,923.37042,98.30311,1136.46788,109.02164,1161.13711
241,913.3066,74.74306,1150.37182,98.80912,1162.54493
242,877.38569,50.08377,1160.58434,83.71819,1163.55614
243,872.00853,33.23375,1175.67527,62.49435,1165.2201
244,740.45168,12.74275,1196.89911,51.58416,1166.95712
245,731.30036,415.09763,3734.07588,2928.96225,0
246,729.38292,386.72286,3745.11363,2910.873,1.09945
247,641.88877,361.1688,3763.20288,2900.78478,2.90727
248,1522.82818,356.96368,3773.2911,2878.63045,4.87597
249,1509.24644,326.26675,3795.44543,2848.96757,6.14062
250,1416.61335,304.68019,3825.10831,2826.76589,7.57655
251,1291.08585,294.92541,3847.30999,2806.35749,8.74496
252,1230.90828,273.47469,3867.71839,2789.69091,10.29694
253,1124.91678,246.61121,3884.38497,2762.30451,11.32812
254,1107.09575,223.98715,3911.77137,2732.6466,12.58856
255,1094.72526,214.17764,3941.42928,2715.62718,14.54456
256,1100.8719,176.72803,3958.4487,2693.57238,15.8903
257,1121.46135,160.2233,3980.5035,2679.16171,17.82049
258,1062.46197,147.96308,3994.91417,2651.87652,19.48382
259,1039.99337,122.37173,4022.19936,2623.74178,21.27799
260,880.2016,100.44952,4050.3341,2598.96997,22.3539
